X,Vx,U0,roll,roll_sp,Y,Vy,U1,pitch,pitch_sp,yaw,yaw_sp,TorqueYaw,Ez,Z,Vz,Tm,pwmedf,s0,s1,s2  
0.01293, 0.03640,   0.27741, 1.42820, 0.21190,            0.00150, -0.05760,   -0.97843, 2.46218, 0.10197,        31.94733, 60.00000, 0.14070,            0.13983, 0.08867, 0.10227,   24.97158, 1539,      3,3,3    
0.01323, 0.03489,   -0.54841, 1.44832, 0.02396,           0.00157, 0.03707,   -1.13769, 2.53207, 0.27376,         31.71324, 60.00000, 0.14401,            0.10986, 0.09127, -0.05801,   26.02131, 1553,      3,3,3    
0.01335, 0.03642,   0.26270, 1.43867, -0.04658,           0.00201, 0.07223,   -1.36635, 2.57240, 0.34477,         31.60454, 60.00000, 0.13217,            0.11984, 0.09460, 0.05021,   25.26360, 1543,      3,3,3    
0.01413, 0.14809,   -0.28066, 1.42890, 0.11314,           0.00247, 0.07812,   -1.00155, 2.67040, 0.69201,         31.40935, 60.00000, 0.12809,            0.13981, 0.10261, 0.22347,   24.01922, 1526,      3,3,3    
0.01478, 0.00171,   -0.49490, 1.45156, -0.21913,          0.00347, 0.12925,   -1.03206, 2.69813, 0.36131,         31.33001, 60.00000, 0.13531,            0.13980, 0.10700, 0.20341,   24.10908, 1527,      3,3,3    
0.01485, 0.03540,   0.44184, 1.41108, -0.02705,           0.00437, 0.05683,   -0.78507, 2.75115, 0.33490,         31.14095, 60.00000, 0.11941,            0.14978, 0.11247, 0.25138,   23.73101, 1522,      3,3,3    
0.01539, 0.03869,   -0.41777, 1.41098, 0.22836,           0.00419, -0.06465,   -0.98863, 2.78671, 0.13143,        31.00354, 60.00000, 0.12742,            0.14978, 0.11943, 0.29522,   23.36890, 1517,      3,3,3    
0.01557, 0.01512,   0.26336, 1.39264, 0.10588,            0.00399, -0.02156,   -0.99711, 2.86087, 0.13894,        30.88787, 60.00000, 0.12019,            0.14977, 0.12733, 0.41162,   22.50932, 1505,      3,3,3    
0.01562, 0.02087,   -0.47908, 1.41458, 0.04232,           0.00423, 0.01312,   -0.81815, 2.88855, 0.21901,         30.85947, 60.00000, 0.11853,            0.14977, 0.13394, 0.29209,   23.24267, 1515,      3,3,3    
0.01551, -0.00991,   0.18026, 1.40717, 0.04609,           0.00445, -0.01227,   -1.02670, 2.91538, 0.08294,        30.85747, 60.00000, 0.11196,            0.15974, 0.14105, 0.43580,   22.20897, 1501,      3,3,3    
0.01563, 0.02338,   -0.37948, 1.40860, 0.15431,           0.00402, -0.03898,   -0.68984, 2.93753, 0.13333,        30.84402, 60.00000, 0.11457,            0.16973, 0.14829, 0.35978,   22.64355, 1507,      3,3,3    
0.01576, 0.04044,   -0.12936, 1.40701, 0.14308,           0.00383, -0.02019,   -0.88904, 2.96641, 0.21733,        30.88818, 60.00000, 0.10614,            0.14975, 0.15119, 0.43022,   22.14287, 1500,      3,3,3    
0.01610, 0.04710,   -0.56698, 1.43267, 0.04992,           0.00387, 0.03074,   -0.75476, 3.00268, 0.32996,         30.91755, 60.00000, 0.10117,            0.15974, 0.15670, 0.36371,   22.53326, 1506,      3,3,3    
0.01669, 0.05815,   0.02126, 1.40758, 0.15814,            0.00429, -0.01380,   -1.30684, 3.06829, 0.28996,        30.90356, 60.00000, 0.10468,            0.15973, 0.16194, 0.40928,   22.17815, 1500,      3,3,3    
0.01790, 0.13499,   0.35010, 1.36462, -0.00690,           0.00485, 0.12458,   -0.91956, 3.11476, 0.77481,         30.95358, 60.00000, 0.09160,            0.16970, 0.16856, 0.34307,   22.55083, 1506,      3,3,3    
0.01879, 0.01589,   -0.03806, 1.34720, -0.30819,          0.00666, 0.18052,   -1.07204, 3.17539, 0.53599,         30.98203, 60.00000, 0.09939,            0.17968, 0.17216, 0.40701,   22.08765, 1499,      3,3,3    
0.01856, 0.00100,   -0.03044, 1.32729, -0.34754,          0.00880, 0.18339,   -0.91064, 3.19194, 0.50518,         31.01903, 60.00000, 0.08630,            0.16969, 0.17674, 0.32434,   22.59345, 1506,      3,3,3    
0.01838, -0.03608,   -0.08132, 1.29955, -0.34480,         0.01056, 0.15072,   -1.12786, 3.27266, 0.34494,         31.25092, 60.00000, 0.08637,            0.16968, 0.18020, 0.48284,   21.49908, 1491,      3,3,3    
0.01796, -0.02984,   -0.06648, 1.28993, -0.14430,         0.01150, 0.05423,   -1.43900, 3.34363, 0.19264,         31.43228, 60.00000, 0.08350,            0.17965, 0.18366, 0.41789,   21.90184, 1497,      3,3,3    
0.01776, -0.02975,   -0.05031, 1.26265, -0.10307,         0.01173, 0.03349,   -1.20464, 3.39540, 0.15570,         31.65741, 60.00000, 0.07646,            0.17964, 0.18760, 0.37607,   22.13948, 1500,      3,3,3    
0.01737, -0.01369,   0.00850, 1.24552, -0.20177,          0.01241, 0.09412,   -1.22702, 3.42018, 0.31411,         31.77231, 60.00000, 0.07884,            0.21956, 0.18961, 0.31764,   22.51121, 1505,      3,3,3    
0.01706, -0.03475,   0.28646, 1.19727, -0.11755,          0.01313, 0.03338,   -1.47244, 3.53221, 0.14339,         32.12942, 60.00000, 0.07064,            0.20956, 0.19341, 0.31212,   22.51186, 1505,      3,3,3    
0.01649, -0.06712,   -0.19814, 1.18906, -0.19575,         0.01362, 0.04615,   -1.54673, 3.57421, 0.07132,         32.25984, 60.00000, 0.07100,            0.20955, 0.19622, 0.43259,   21.67792, 1493,      3,3,3    
0.01553, -0.10863,   0.32710, 1.17375, -0.39542,          0.01455, 0.11253,   -1.46370, 3.63630, 0.07152,         32.43424, 60.00000, 0.06962,            0.21951, 0.20078, 0.47791,   21.32784, 1488,      3,3,3    
0.01457, -0.05738,   -0.22976, 1.14893, -0.23793,         0.01570, 0.06841,   -1.35519, 3.70324, 0.13870,         32.63245, 60.00000, 0.06390,            0.21950, 0.20539, 0.41312,   21.71337, 1494,      3,3,3    
0.01401, -0.02086,   0.20903, 1.10338, -0.05556,          0.01615, 0.00094,   -1.27028, 3.77916, 0.11767,         32.94536, 60.00000, 0.06510,            0.21949, 0.21067, 0.40760,   21.69589, 1494,      3,3,3    
0.01397, -0.03292,   -0.14646, 1.09875, -0.10932,         0.01603, 0.02023,   -1.40192, 3.80766, 0.11863,         33.06915, 60.00000, 0.05768,            0.21947, 0.21222, 0.39599,   21.75995, 1495,      3,3,3    
0.01402, -0.01042,   0.05529, 1.07922, -0.07649,          0.01613, 0.02230,   -1.49585, 3.87605, 0.18901,         33.29429, 60.00000, 0.06269,            0.19951, 0.21478, 0.37157,   21.89812, 1496,      3,3,3    
0.01380, -0.06575,   -0.04857, 1.03971, -0.04756,         0.01607, -0.04131,   -1.58745, 3.99088, -0.09307,       33.71104, 60.00000, 0.05613,            0.23939, 0.21980, 0.30392,   22.30107, 1502,      3,3,3    
0.01249, -0.10999,   0.03588, 1.02666, -0.06596,          0.01523, -0.07144,   -1.45690, 4.04755, -0.29111,       34.05567, 60.00000, 0.05064,            0.22940, 0.22469, 0.33736,   22.02599, 1498,      3,3,3    
