time,x,vx,u0,roll,upos0,gx,y,vy,u1,pitch,upos1,gy,yaw,yawsp,u2,z,vz,tm,linacc,gyroacc,quatacc
6002524.00000, 0.00000, 0.00145,   0.19021, -1.00735, 0.00000,            0.00000, 0.00001,   0.03851, -0.05847, 0.00000,         56.11749, 60.00000, 0.01453,            0.05999, 0.00461, 0.06058,   24.29995, 1530,      3,3,3    
6012524.00000, 0.00002, 0.00130,   0.24210, -1.00734, 0.00000,            -0.00001, -0.00106,   0.01513, -0.05826, 0.00000,       56.10803, 60.00000, 0.01456,            -0.03000, -0.00088, -0.01676,   24.61370, 1534,      3,3,3    
6022524.00000, 0.00003, 0.00027,   0.24185, -1.00745, 0.00000,            -0.00002, -0.00057,   -0.03437, -0.05815, 0.00000,      56.10186, 60.00000, 0.01296,            -0.03999, -0.00775, -0.10085,   24.95936, 1539,      3,3,3    
6032524.00000, 0.00003, 0.00028,   0.23785, -1.01362, 0.00000,            -0.00002, -0.00046,   0.00177, -0.06166, 0.00000,       56.11143, 60.00000, 0.01309,            -0.04999, -0.01432, -0.17103,   25.25214, 1543,      3,3,3    
6042524.00000, 0.00003, -0.00036,   0.15583, -1.00735, 0.00000,           -0.00002, -0.00039,   0.04150, -0.05847, 0.00000,       56.11749, 60.00000, 0.01290,            -0.03999, -0.02049, -0.22615,   25.48714, 1546,      3,3,3    
6052524.00000, 0.00002, -0.00085,   0.24230, -1.01352, -0.00129,          -0.00003, -0.00028,   0.08120, -0.06177, 0.04881,       56.11760, 60.00000, 0.01339,            -0.03999, -0.02622, -0.26898,   25.67472, 1548,      3,3,3    
6062524.00000, 0.00001, -0.00150,   0.14802, -1.01023, -0.00129,          -0.00002, 0.00123,   0.03703, -0.06794, 0.04881,        56.11771, 60.00000, 0.01436,            -0.03999, -0.03069, -0.29051,   25.77688, 1550,      3,3,3    
6072524.00000, -0.00001, -0.00190,   0.19076, -1.00406, -0.00129,         -0.00002, 0.00019,   -0.00693, -0.06465, 0.04881,       56.11760, 60.00000, 0.01436,            -0.03999, -0.03544, -0.31316,   25.88483, 1551,      3,3,3    
6082524.00000, -0.00003, -0.00122,   0.26598, -1.00416, -0.00129,         -0.00002, -0.00033,   0.00156, -0.06454, 0.04881,       56.11143, 60.00000, 0.01455,            -0.04999, -0.03966, -0.32532,   25.95145, 1552,      3,3,3    
6092524.00000, -0.00004, -0.00095,   0.21108, -1.01362, -0.00129,         -0.00002, 0.00128,   -0.04113, -0.06166, 0.04881,       56.11143, 60.00000, 0.01292,            -0.04999, -0.04412, -0.33950,   26.02642, 1553,      3,3,3    
6102524.00000, -0.00005, -0.00061,   0.20335, -1.01341, -0.00017,         -0.00001, 0.00010,   0.03104, -0.06188, 0.04526,        56.12379, 60.00000, 0.01256,            -0.03999, -0.04724, -0.33402,   26.02208, 1553,      3,3,3    
6112524.00000, -0.00006, -0.00079,   0.19980, -1.01341, -0.00017,         -0.00001, 0.00024,   0.03925, -0.06209, 0.04526,        56.13326, 60.00000, 0.01236,            -0.03999, -0.04834, -0.30490,   25.92013, 1552,      3,3,3    
6122524.00000, -0.00007, -0.00141,   0.18125, -1.01341, -0.00017,         -0.00002, -0.00015,   0.05612, -0.06209, 0.04526,       56.13326, 60.00000, 0.01447,            -0.03999, -0.04976, -0.28337,   25.84778, 1551,      3,3,3    
