time,x,vx,u0,roll,roll_sp,gx,y,vy,u1,pitch,pitch_sp,gy,yaw,yaw_sp,u2,z,vz,tm,rollgain,pitchgain,gxgain,gygain,s0,s1,s2
0.0,   -0.00000, 0.00001,   0.04870, -1.24458, -1.00339,  0.00000,  	  -0.00000, -0.00003,   0.31812, -0.60187, 1.00286,  0.00000,  	  109.13403, 60.00000, 0.00000,     	 -0.00970, -0.11373,   27.28370,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.0,   -0.00000, 0.00000,   0.21202, -1.24458, -0.14142,  0.00000,  	  -0.00000, 0.00009,   0.28608, -0.60187, 0.82570,  0.00000,  	  109.13403, 60.00000, 0.00000,     	 -0.01455, -0.16012,   27.58727,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.0,   -0.00000, 0.00001,   0.44895, -1.24458, 1.00322,  0.00000,  	  -0.00000, 0.00004,   0.27298, -0.60187, 0.76120,  0.00000,  	  109.13403, 60.00000, 0.00000,     	 -0.01376, -0.12982,   27.40887,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.0,   -0.00000, -0.00004,   0.44944, -1.24458, 1.00271,  0.00000,  	  0.00000, -0.00000,   0.31583, -0.60187, 0.99899,  0.00000,  	  109.13403, 60.00000, 0.00000,     	 -0.01507, -0.12904,   27.41525,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.1,   -0.00000, -0.00003,   0.44888, -1.24473, 1.00274,  0.00000,  	  0.00000, -0.00000,   0.30244, -0.60167, 0.90578,  0.00000,  	  109.12427, 60.00000, 0.00000,     	 -0.01239, -0.07841,   27.10507,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.1,   -0.00000, -0.00008,   0.24245, -1.24473, -0.08584,  0.00000,  	  -0.00000, 0.00003,   0.32091, -0.60167, 1.00316,  0.00000,  	  109.12427, 60.00000, 0.00000,     	 -0.01425, -0.09305,   27.20302,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.1,   -0.00000, 0.00005,   0.06127, -1.24473, -1.00341,  0.00000,  	  -0.00000, -0.00021,   0.03744, -0.60167, -0.48910,  0.00000,  	  109.12427, 60.00000, 0.00000,     	 -0.01214, -0.05415,   26.96374,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.1,   -0.00000, -0.00030,   0.24606, -1.24473, 0.03747,  0.00000,  	  -0.00000, -0.00008,   -0.08017, -0.60167, -1.00406,  0.00000,  	  109.12427, 60.00000, 0.00000,     	 -0.01307, -0.05986,   27.00410,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.1,   -0.00000, -0.00017,   0.04878, -1.24473, -1.00331,  0.00000,  	  -0.00001, -0.00020,   0.26952, -0.60167, 0.73762,  0.00000,  	  109.12427, 60.00000, 0.00000,     	 -0.01009, -0.01456,   26.72197,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.1,   -0.00001, 0.00006,   0.35855, -1.24067, 0.63399,  0.00000,  	  -0.00000, 0.00020,   0.31995, -0.59596, 1.00449,  0.00000,  	  109.12409, 60.00000, 0.00000,     	 -0.00793, 0.01358,   26.54494,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.1,   -0.00000, -0.00016,   0.04615, -1.24067, -1.00394,  0.00390,  	  -0.00001, -0.00030,   -0.03407, -0.59596, -0.87359,  -0.00195,  	  109.12409, 60.00000, 0.00000,     	 -0.00892, -0.00293,   26.64605,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.1,   -0.00001, -0.00009,   0.01401, -1.24067, -1.00314,  0.00586,  	  -0.00001, 0.00002,   0.13045, -0.59596, 0.01436,  0.00000,  	  109.12409, 60.00000, 0.00000,     	 -0.00531, 0.04231,   26.35926,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.1,   -0.00000, -0.00013,   0.39755, -1.24067, 0.77797,  -0.00195,  	  -0.00001, -0.00002,   -0.03921, -0.59596, -1.00428,  -0.00391,  	  109.12409, 60.00000, 0.00000,     	 -0.00259, 0.07180,   26.16995,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.1,   -0.00000, -0.00008,   0.06427, -1.24487, -1.00378,  -0.00001,  	  -0.00001, -0.00015,   -0.05990, -0.60146, -1.00424,  -0.00001,  	  109.11450, 60.00000, 0.00000,     	 -0.00382, 0.04891,   26.30952,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.2,   -0.00000, 0.00004,   0.07176, -1.24487, -1.00330,  -0.00391,  	  -0.00001, -0.00005,   0.25730, -0.60146, 1.00326,  0.00976,  	  109.11450, 60.00000, 0.00000,     	 -0.00282, 0.05424,   26.27135,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
0.2,   -0.00000, 0.00007,   0.04701, -1.24082, -1.00307,  0.00000,  	  -0.00001, -0.00005,   0.04718, -0.59576, -0.39575,  0.00001,  	  109.11432, 60.00000, 0.00000,     	 -0.00268, 0.04858,   26.30212,  0.20000, 0.20000,  0.10000, 0.10000,      3,3,3    
